campaign,campaign_slug,customer,creation_date
CYPRESS HILL - ALCOLIRYKOZ,cypress-hill-alcolirykoz-bogota-2025,Tuboleta,1731859335
Brutalismus 3000,brutalismus-3000-medellin-2024,eticket,1711126126
"Santiago Rivas, Acaba Colombia Un Monólogo",santiago-rivas-bogota-2024,eticket,1711039265
Póngale Vallenato Mano,pongale-vallenato-mano-bucaramanga-2024,eticket,1710532830
Raphael,raphael-medellin-2024,eticket,1701384856
Cuarteto de Nos,cuarteto-de-nos-bogota-2024,Tuboleta,1706539555
Brutalismus 3000,brutalismus-3000-bogota-2024,eticket,1711127104
Alejandro Santamaría,alejandro-santamaria-bogota-2024,eticket,1714162585
Megadeth,megadeth-bogota-2024,Tuboleta,1710259042
Juanes,juanes-bucaramanga-2024,eticket,1701382289
Juanes,juanes-pereira-2024,eticket,1701381971
HA*ASH,haashville-bogota-2025,eticket,1730142638
Monsieur Periné,monsieur-perine-bogota-2024,eticket,1712003069
Vino al Parque,vino-al-parque-bogota-2024,eticket,1712071576
Milky Chance,milky-chance-bogota-2024,eticket,1711038756
"Lunalé, Flor de Jamaica",lunale-flor-de-jamaica-bogota-2024,eticket,1712195787
RAPHAEL - VICTORIA,raphael-bogota-2024,Tuboleta,1710272141
Los Aguilar,los-aguilar-bogota-2024,Tuboleta,1724770685
Vive La Salsa,vive-la-salsa-medellin-2024,Tuboleta,1710967039
Don Tetto,don-tetto-bogota-2024,Tuboleta,1710963954
CAPITAL FEST,capital-fest-bogota-2024,Tuboleta,1710962809
14 Cañonazos Fest,14-canonazos-fest-bogota-2024,Tuboleta,1725631905
Diamante Eléctrico,diamante-electrico-bogota-2024,eticket,1713287753
"Julieta Venegas, Elsa y Elmar y Ximena Sariñana",julieta-venegas-bogota-2024,Tuboleta,1724772156
Boxxera,boxxera-bogota-2024,eticket,1724773082
Slipknot 25th Anniversary,slipknot-bogota-2024,Tuboleta,1722876070
Sting,sting-bogota-2025,Tuboleta,1727790840
Expocervezas Carulla,expocervezas-carulla-bogota-2024,eticket,1726668013
Miguel Ángel Vivo,miguel-angel-vivo-bogota-2024,eticket,1727879371
Aventura Cerrando ciclos,aventura-bogota-2024-2,eticket,1727471745
EPIC,epic-bogota-2024,Tuboleta,1727723576
Festival Estéreo Picnic,estereo-picnic-2025,eticket,1723842473
Mareh,mareh-bogota-2024,eticket,1727970722
Leo Rizzi,leo-rizzi-bogota-2024,eticket,1726768953
